Closing Spread	W	L	Games	Win %	Cumulative Games	Cumulative Wins	Cummuliative Win %
0	634	634	1268	50.00%	67077	49508	73.81%
-0.5	1	2	3	33.33%	65809	48874	74.27%
-1	1533	1406	2939	52.16%	65806	48873	74.27%
-1.5	1467	1296	2763	53.09%	62867	47340	75.30%
-2	1821	1451	3272	55.65%	60104	45873	76.32%
-2.5	1828	1347	3175	57.57%	56832	44052	77.51%
-3	1929	1192	3121	61.81%	53657	42224	78.69%
-3.5	1859	1145	3004	61.88%	50536	40295	79.74%
-4	1891	1056	2947	64.17%	47532	38436	80.86%
-4.5	1911	947	2858	66.86%	44585	36545	81.97%
-5	1816	860	2676	67.86%	41727	34634	83.00%
-5.5	1870	785	2655	70.43%	39051	32818	84.04%
-6	1756	730	2486	70.64%	36396	30948	85.03%
-6.5	1803	667	2470	73.00%	33910	29192	86.09%
-7	1703	556	2259	75.39%	31440	27389	87.12%
-7.5	1714	505	2219	77.24%	29181	25686	88.02%
-8	1657	453	2110	78.53%	26962	23972	88.91%
-8.5	1554	355	1909	81.40%	24852	22315	89.79%
-9	1429	342	1771	80.69%	22943	20761	90.49%
-9.5	1379	248	1627	84.76%	21172	19332	91.31%
-10	1319	250	1569	84.07%	19545	17953	91.85%
-10.5	1179	205	1384	85.19%	17976	16634	92.53%
-11	1158	168	1326	87.33%	16592	15455	93.15%
-11.5	1043	144	1187	87.87%	15266	14297	93.65%
-12	1054	149	1203	87.61%	14079	13254	94.14%
-12.5	987	131	1118	88.28%	12876	12200	94.75%
-13	964	109	1073	89.84%	11758	11213	95.36%
-13.5	872	78	950	91.79%	10685	10249	95.92%
-14	847	72	919	92.17%	9735	9377	96.32%
-14.5	787	44	831	94.71%	8816	8530	96.76%
-15	702	45	747	93.98%	7985	7743	96.97%
-15.5	612	25	637	96.08%	7238	7041	97.28%
-16	567	20	587	96.59%	6601	6429	97.39%
-16.5	500	32	532	93.98%	6014	5862	97.47%
-17	482	27	509	94.70%	5482	5362	97.81%
-17.5	441	15	456	96.71%	4973	4880	98.13%
-18	398	15	413	96.37%	4517	4439	98.27%
-18.5	367	8	375	97.87%	4104	4041	98.46%
-19	316	4	320	98.75%	3729	3674	98.53%
-19.5	288	8	296	97.30%	3409	3358	98.50%
-20	266	4	270	98.52%	3113	3070	98.62%
-20.5	230	5	235	97.87%	2843	2804	98.63%
-21	256	8	264	96.97%	2608	2574	98.70%
-21.5	207	5	212	97.64%	2344	2318	98.89%
-22	211	6	217	97.24%	2132	2111	99.02%
-22.5	170	1	171	99.42%	1915	1900	99.22%
-23	173	2	175	98.86%	1744	1730	99.20%
-23.5	156	1	157	99.36%	1569	1557	99.24%
-24	141	1	142	99.30%	1412	1401	99.22%
-24.5	137	2	139	98.56%	1270	1260	99.21%
-25	118	4	122	96.72%	1131	1123	99.29%
-25.5	97	1	98	98.98%	1009	1005	99.60%
-26	118	2	120	98.33%	911	908	99.67%
-26.5	88	0	88	100.00%	791	790	99.87%
-27	79	0	79	100.00%	703	702	99.86%
-27.5	74	1	75	98.67%	624	623	99.84%
-28	60	0	60	100.00%	549	549	100.00%
-28.5	48	0	48	100.00%	489	489	100.00%
-29	48	0	48	100.00%	441	441	100.00%
-29.5	47	0	47	100.00%	393	393	100.00%
-30	40	0	40	100.00%	346	346	100.00%
-30.5	34	0	34	100.00%	306	306	100.00%
-31	28	0	28	100.00%	272	272	100.00%
-31.5	32	0	32	100.00%	244	244	100.00%
-32	29	0	29	100.00%	212	212	100.00%
-32.5	27	0	27	100.00%	183	183	100.00%
-33	18	0	18	100.00%	156	156	100.00%
-33.5	19	0	19	100.00%	138	138	100.00%
-34	18	0	18	100.00%	119	119	100.00%
-34.5	15	0	15	100.00%	101	101	100.00%
-35	8	0	8	100.00%	86	86	100.00%
-35.5	11	0	11	100.00%	78	78	100.00%
-36	12	0	12	100.00%	67	67	100.00%
-36.5	7	0	7	100.00%	55	55	100.00%
-37	8	0	8	100.00%	48	48	100.00%
-37.5	5	0	5	100.00%	40	40	100.00%
-38	5	0	5	100.00%	35	35	100.00%
-38.5	5	0	5	100.00%	30	30	100.00%
-39	9	0	9	100.00%	25	25	100.00%
-39.5	2	0	2	100.00%	16	16	100.00%
-40	3	0	3	100.00%	14	14	100.00%
-40.5	1	0	1	100.00%	11	11	100.00%
-41	1	0	1	100.00%	10	10	100.00%
-41.5	1	0	1	100.00%	9	9	100.00%
-42	1	0	1	100.00%	8	8	100.00%
-42.5	5	0	5	100.00%	7	7	100.00%
-43.5	1	0	1	100.00%	2	2	100.00%
-45.5	1	0	1	100.00%	1	1	100.00%
